±â¿Â,½Àµµ,Ç³Çâ,Ç³¼Ó,»êºÒ
18.2,32,250,3.7,1
7.6,27,270,4.1,1
11.4,30,270,4.5,1
25.5,44,270,6,1
13.1,16,110,1.7,1
25.9,15,200,1.9,1
13.1,21,230,1.9,1
4.6,36,230,1.2,1
19.7,16,250,7,1
12.4,36,270,3.3,1
11.2,26,160,1.7,1
17.7,13,290,3.1,1
12.3,26,290,4.3,1
15.9,38,360,0.8,1
17.7,13,290,3.1,1
32.2,43,270,3.9,1
16.2,37,270,2.7,1
16.2,37,250,3.2,1
11.5,37,270,4.9,1
16,17,270,3.5,1
11.5,24,320,2.7,1
3.1,38,270,3.4,1
24.9,40,50,1.3,1
23.9,21,230,5.5,1
5.4,16,20,1.3,1
7.8,21,270,1.7,1
-1.8,28,270,5,1
12.6,49,290,2.5,1
11.2,57,230,4.3,1
17.2,22,250,1.2,1
6.9,34,290,5.4,1
27.9,38,270,3.2,1
4.8,23,200,1.2,1
16.8,46,180,3.5,1
4.4,33,290,2.9,1
20.7,19,320,4.2,1
20.9,25,270,4.4,1
5.4,21,270,3.2,1
-1.5,20,290,3.6,1
7.9,47,160,1.3,1
17.8,38,270,6.4,1
10.3,62,160,1.9,1
19,23,270,4.5,1
30.1,45,270,2.1,1
23.9,45,200,2.9,1
15.5,17,270,4.7,1
21.2,24,250,2.6,1
16,22,160,1.3,1
13,35,270,2.9,1
17.8,31,270,3.7,1
20.7,64,70,3.4,1
15.7,26,290,4,1
20.4,17,70,3.1,1
20.4,17,70,3.1,1
15.3,28,270,4.2,0
2,23,290,5.8,0
11.6,30,270,3.1,0
22.6,26,250,6.4,0
8.1,27,270,6.7,0
22.4,22,270,4.6,0
13.5,33,140,2.2,0
4,44,360,1.3,0
27.7,40,250,2.1,0
11.6,39,270,4.3,0
9.6,25,320,2.4,0
15.6,16,290,2.7,0
12.3,40,320,4.3,0
18.4,59,200,1.6,0
15.6,16,290,2.7,0
29.6,46,290,3,0
14.5,29,250,2.1,0
14.1,34,110,1.2,0
10.3,39,270,1.9,0
13.4,31,320,2,0
8.9,46,270,5.7,0
-0.5,37,290,3.6,0
23.2,55,160,2.4,0
20.2,28,230,4,0
3.5,26,290,2.8,0
2.6,22,160,0.4,0
4,47,270,2.1,0
12.3,57,160,2.8,0
6.8,40,140,1.4,0
11.4,30,270,4.5,0
6.9,53,250,6.2,0
30.4,28,290,2.7,0
3,31,270,4.9,0
11.7,44,180,2.6,0
1.8,29,270,3.3,0
20,55,270,4,0
20.8,29,270,4.1,0
3.1,36,270,4.5,0
1.5,36,270,2.6,0
5.6,48,180,2.5,0
25.1,45,290,4.7,0
7.7,71,180,1.1,0
15.7,43,270,3.5,0
28.4,50,290,2.5,0
22.5,32,250,2.5,0
18.4,43,270,4.7,0
18,28,290,3,0
13.1,25,270,3.7,0
13.5,38,270,3.1,0
14.2,50,270,3.3,0
21.8,65,90,3.3,0
13.1,36,290,2.9,0
20.7,16,90,5,0
20.7,16,90,5,0
13.4,46,270,3.8,0
-0.8,27,290,4.9,0
11.5,31,270,2.6,0
20.1,25,290,3.7,0
8,20,250,3.6,0
21.2,35,250,5.7,0
14.4,21,110,5.5,0
4.5,89,160,1.8,0
27.3,34,290,2.9,0
9.7,42,270,3.1,0
8.2,44,270,6.1,0
15.2,20,320,2.2,0
14.6,26,180,0.8,0
12.8,88,160,0.7,0
15.2,20,320,2.2,0
29.2,39,270,4,0
12.6,49,290,2.5,0
12.4,36,270,3.3,0
11.4,21,160,1.8,0
11.7,19,290,2.9,0
5.4,31,270,5.1,0
-2.8,34,270,3.8,0
17.2,95,290,1.7,0
19,23,270,4.5,0
3.2,27,340,2.2,0
-1.2,27,270,3.6,0
-0.7,37,270,2,0
15,39,320,2.2,0
6.4,29,290,3.6,0
11.6,30,270,3.1,0
3,32,290,3.2,0
28.7,30,270,2.6,0
4,55,270,3.1,0
10.6,43,250,2.1,0
3.9,27,320,4.8,0
21.1,24,250,4.5,0
18.4,36,290,3.6,0
4.3,19,290,3.6,0
5.2,35,270,3,0
7.9,41,290,1,0
23.3,43,290,4.2,0
9.3,80,180,1.1,0
14.9,62,270,6.4,0
28.2,46,270,1.7,0
21.7,32,270,4.8,0
20.1,15,180,1.7,0
15.2,25,290,3,0
10.8,34,290,1.9,0
15.1,33,290,2.4,0
11,33,270,4.7,0
23.5,66,110,1.4,0
13.2,33,270,4.8,0
19.3,53,180,1.2,0
19.3,53,180,1.2,0
9.8,95,340,2.1,0
1.9,63,270,7,0
10.9,29,270,4.7,0
17.9,38,320,4,0
5.2,39,270,7.1,0
19.2,31,180,1.8,0
15.4,28,90,4.4,0
3.2,47,160,2.2,0
28.2,26,140,1.8,0
11.5,26,250,5,0
4.4,33,290,2.9,0
12.6,38,290,2.4,0
17.1,20,200,1.8,0
16.8,58,180,2.3,0
12.6,38,290,2.4,0
30.2,37,290,2.5,0
12.3,57,160,2.8,0
11.6,39,270,4.3,0
11.9,40,290,3,0
10.9,28,230,3.4,0
1.9,30,270,4.5,0
-1.3,36,270,5.7,0
26.7,33,230,1.5,0
15.7,43,270,3.5,0
1,22,340,2.2,0
-3,37,290,6,0
-4.7,37,270,3.3,0
12.2,32,230,1.5,0
3.7,52,230,2.3,0
11.5,31,270,2.6,0
1.4,38,270,4.9,0
25.7,29,270,3,0
0.1,35,250,4.4,0
6.5,56,160,2.2,0
8.4,54,250,1.3,0
21.4,25,250,3.8,0
16,45,250,2.9,0
2,32,270,5.1,0
4.7,65,50,0.8,0
8.1,42,0,0.2,0
28.8,17,160,1.8,0
11.3,65,110,2.1,0
9.6,91,110,1.9,0
21.5,86,320,1.4,0
19.9,23,290,3.4,0
17.6,52,110,5.7,0
12.8,49,290,4.2,0
10.8,33,290,0.8,0
14.1,40,200,2.8,0
8.7,49,290,5.3,0
22.1,82,180,0.8,0
14,22,290,3.6,0
17.6,33,200,3.4,0
17.6,33,200,3.4,0
16.2,37,250,3.2,0
10.5,82,270,3.7,0
12.2,32,270,4.5,0
20.1,27,180,3,0
12.9,18,270,4.5,0
22.7,23,290,3.3,0
16.2,23,90,6,0
1.5,20,340,3,0
25.7,32,200,1.6,0
13.3,35,140,1.9,0
1.8,29,270,3.3,0
13.1,33,290,4.1,0
15.3,15,290,4.6,0
18.4,63,290,1.8,0
13.1,33,290,4.1,0
29.9,32,290,3,0
15,39,320,2.2,0
9.7,42,270,3.1,0
14.2,27,270,3.3,0
10.6,28,320,3.3,0
4.8,27,320,4.8,0
2.1,43,270,2.1,0
28.1,26,180,1.6,0
14.9,62,270,6.4,0
-3.2,38,290,5.2,0
0.1,33,270,5.1,0
-7.8,40,290,3.2,0
9.2,58,180,1.7,0
3.5,35,270,3.6,0
10.9,29,270,4.7,0
3.1,26,250,3.7,0
20.6,36,250,3.7,0
1.7,27,290,3.9,0
7.2,52,230,1.6,0
9.7,42,160,1.7,0
21.8,28,290,2.9,0
17.7,26,320,3.7,0
4.3,44,320,3.4,0
5.4,16,20,1.3,0
7.3,35,20,0.9,0
25.6,36,270,3.7,0
9,85,160,0.5,0
15.4,28,110,1.3,0
28.5,45,360,1.3,0
18.8,22,20,2.4,0
18.4,56,270,3.1,0
12,61,230,1.7,0
12.3,26,270,3.9,0
16.1,41,320,2.2,0
8.9,37,270,4.3,0
21.5,89,290,0.7,0
14.8,32,290,3.7,0
12.3,24,230,3.6,0
12.3,24,230,3.6,0
14.1,34,110,1.2,0
12.7,17,140,2.2,0
13.4,23,270,3.9,0
18.5,27,270,4,0
12.3,14,250,5.2,0
20.8,38,250,4.5,0
14.8,57,70,2.4,0
1,91,180,1.5,0
25.8,30,50,1.1,0
13.3,22,270,4.4,0
3.9,27,320,4.8,0
14,23,320,2.2,0
15.1,24,250,2.6,0
19.1,28,70,1,0
14,23,320,2.2,0
30.1,32,290,3.5,0
12.2,32,230,1.5,0
11.5,26,250,5,0
12.6,29,270,3.5,0
11.1,40,290,1.8,0
9.2,54,200,2.3,0
0.8,44,160,1.5,0
26.4,32,110,1.1,0
9.6,91,110,1.9,0
-6,28,290,6.6,0
2.9,81,140,2.8,0
-7.3,36,320,4.4,0
10,49,270,3.5,0
-0.5,38,290,3.8,0
12.2,32,270,4.5,0
5,30,290,3.4,0
19.8,99,180,2.5,0
4.3,21,270,3.4,0
6.8,85,320,2.4,0
6.4,52,180,2.5,0
18.6,36,270,4.3,0
12.2,100,270,2.8,0
4.3,24,290,3.6,0
3.5,26,290,2.8,0
5.1,47,110,1.7,0
26.9,26,200,1.9,0
11.2,40,0,0.2,0
9,65,90,2.6,0
28.8,46,50,2.5,0
21,51,250,4.3,0
20.4,47,230,1.6,0
16.2,37,250,3,0
14.1,32,290,4.2,0
16.3,41,180,1.1,0
9,84,200,3,0
20.5,90,180,1.3,0
15.4,18,90,1.3,0
9.9,37,250,4.7,0
9.9,37,250,4.7,0
