"시도별",2001,2001,2002,2002,2003,2003,2004,2004,2005,2005,2006,2006,2007,2007,2008,2008,2009,2009,2010,2010,2011,2011,2012,2012,2013,2013,2014,2014,2015,2015,2016,2016,2017,2017,2018,2018
"시도별",건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha),건수 (건),면적 (ha)
"계",785,963.22,599,4467.15,271,132.84,544,1587.89,516,2066.58,405,254.23,418,230.40,389,226.90,570,1380.57,282,296.84,277,1089.53,197,71.91,296,551.78,492,136.92,623,418.07,391,377.65,692,1479.65,496,894.07
"서울",61,3.43,38,3.18,27,0.51,15,0.96,18,1.27,32,5.65,14,0.72,14,0.61,5,0.90,3,0.04,3,1.12,12,3.03,4,0.10,19,1.01,21,1.69,13,1.04,16,2.73,16,0.42
"부산",38,5.20,24,15.10,6,0.84,25,9.69,24,2.85,19,5.29,36,6.42,22,2.75,31,14.32,23,2.71,9,90.98,5,0.77,15,0.87,11,2.54,11,1.32,8,1.14,13,0.56,15,65.93
"대구",6,3.14,14,2.26,10,1.32,19,8.29,20,4.69,16,11.58,15,3.44,5,1.45,13,5.12,2,0.25,1,0.50,1,0.10,2,0.08,13,0.62,11,0.56,6,0.30,13,0.98,5,0.61
"인천",36,11.22,26,6.82,17,9.62,13,2.36,14,4.25,26,3.19,35,6.15,13,12.92,20,3.58,11,47.58,3,0.40,1,1.30,4,0.24,22,3.20,44,5.88,25,11.78,21,5.10,19,1.19
"광주",16,11.85,17,4.70,6,1.07,17,6.18,23,6.45,7,2.59,14,5.85,7,3.12,10,6.40,1,0.10,3,1.10,2,0.46,7,1.39,7,0.51,5,0.37,1,0.03,2,0.40,3,0.50
"대전",48,13.45,30,12.93,13,19.72,22,18.45,17,11.68,13,4.67,11,5.54,11,5.93,6,8.62,1,0.10,4,0.45,5,0.46,6,0.95,9,2.45,12,4.60,3,5.01,18,4.16,5,0.21
"울산",30,46.60,27,33.56,13,4.14,27,38.33,13,18.11,14,13.71,12,10.92,15,3.13,25,36.73,12,10.74,17,11.65,4,0.75,14,319.99,13,2.49,7,1.51,4,0.13,11,19.00,12,4.88
"세종",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,3,1.80,4,2.85,4,5.05,1,0.01,1,0.20,2,0.08,6,1.09
"경기",64,53.33,54,40.90,29,16.02,46,22.51,37,13.80,26,8.66,25,6.64,22,4.35,21,8.34,7,0.83,7,0.61,11,1.94,6,2.20,48,5.47,150,94.31,113,51.69,161,55.04,69,15.83
"강원",86,116.65,52,241.75,11,8.42,57,757.88,41,1374.36,30,12.19,26,14.03,25,13.49,60,62.97,46,93.09,39,111.19,44,16.16,36,9.65,73,20.03,125,237.21,91,50.72,103,1195.87,47,674.18
"충북",62,102.81,46,106.41,22,15.85,21,26.35,36,43.06,26,17.62,25,7.86,25,36.71,41,22.65,34,4.74,26,13.31,14,3.95,14,4.47,18,1.84,31,7.12,19,77.86,46,8.16,33,1.12
"충남",47,38.37,45,3188.69,8,4.40,14,5.80,27,32.43,29,22.46,15,10.35,9,3.20,13,3.81,8,0.79,14,11.83,15,10.32,17,16.52,23,5.94,23,3.52,15,1.56,52,16.09,29,3.17
"전북",58,56.93,48,503.77,12,6.20,22,10.65,50,119.53,14,13.40,25,17.09,36,17.12,52,86.95,7,1.13,10,3.48,12,4.02,32,12.50,29,5.68,21,3.21,13,1.27,24,3.10,29,4.44
"전남",56,74.94,56,232.86,32,17.77,85,58.07,66,44.48,66,71.77,59,52.40,47,41.91,47,159.42,15,7.00,37,37.55,19,8.85,53,34.51,73,26.09,51,12.70,23,1.70,33,4.33,39,6.26
"경북",131,389.75,89,58.66,42,16.13,111,512.38,87,138.05,49,47.34,69,67.25,82,53.17,156,752.33,52,118.03,51,747.38,23,9.22,45,117.67,98,47.57,87,35.34,46,171.60,115,154.36,100,106.19
"경남",44,34.75,33,15.56,23,10.83,49,108.99,43,251.57,38,14.11,36,14.74,55,25.04,70,208.43,60,9.71,53,57.98,25,8.28,35,26.29,32,6.43,23,8.72,10,1.62,62,9.69,69,8.05
"제주",2,0.80,0,0.00,0,0.00,1,1.00,0,0.00,0,0.00,1,1.00,1,2.00,0,0.00,0,0.00,0,0.00,1,0.50,2,1.50,-,-,-,-,-,-,-,-,-,-
